transaction_id,timestamp,item_name,quantity,price
8cf733ed-74af-448e-8def-09d0442c00f5,2026-06-08T18:47:12.039043,Coffee,2,5.00
8cf733ed-74af-448e-8def-09d0442c00f5,2026-06-08T18:47:12.039043,Pie,1,15.50
58dcf0cf-7f0d-47a0-89f6-75c3c911bfa7,2026-06-06T18:47:12.039043,Cake,1,12.00
58dcf0cf-7f0d-47a0-89f6-75c3c911bfa7,2026-06-06T18:47:12.039043,Coffee,1,5.00
376db996-963b-47e5-8a69-b3886f77cb93,2026-05-29T18:47:12.039043,Capuccino,3,6.00
376db996-963b-47e5-8a69-b3886f77cb93,2026-05-29T18:47:12.039043,Pie,2,15.50
8be6d02b-95e5-4f4d-9033-14e1539461e8,2026-06-08T18:52:30.410471,Capuccino,1,6.00
8be6d02b-95e5-4f4d-9033-14e1539461e8,2026-06-08T18:52:30.410471,Tea,1,4.00
8be6d02b-95e5-4f4d-9033-14e1539461e8,2026-06-08T18:52:30.410471,Coffee,1,5.00
8be6d02b-95e5-4f4d-9033-14e1539461e8,2026-06-08T18:52:30.410471,Water,1,2.00
8be6d02b-95e5-4f4d-9033-14e1539461e8,2026-06-08T18:52:30.410471,Water,1,2.00
8be6d02b-95e5-4f4d-9033-14e1539461e8,2026-06-08T18:52:30.410471,Coffee,1,5.00
8be6d02b-95e5-4f4d-9033-14e1539461e8,2026-06-08T18:52:30.410471,Pie,1,15.50
4be41d0e-9340-4906-a23c-0ca6bcbff126,2026-06-08T18:53:02.146201,Pie,1,15.50
4be41d0e-9340-4906-a23c-0ca6bcbff126,2026-06-08T18:53:02.146201,Pie,1,15.50
4be41d0e-9340-4906-a23c-0ca6bcbff126,2026-06-08T18:53:02.146201,Pie,1,15.50
4be41d0e-9340-4906-a23c-0ca6bcbff126,2026-06-08T18:53:02.146201,Pie,1,15.50
4be41d0e-9340-4906-a23c-0ca6bcbff126,2026-06-08T18:53:02.146201,Pie,1,15.50
4be41d0e-9340-4906-a23c-0ca6bcbff126,2026-06-08T18:53:02.146201,Pie,1,15.50
4be41d0e-9340-4906-a23c-0ca6bcbff126,2026-06-08T18:53:02.146201,Pie,1,15.50
4be41d0e-9340-4906-a23c-0ca6bcbff126,2026-06-08T18:53:02.146201,Pie,1,15.50
4be41d0e-9340-4906-a23c-0ca6bcbff126,2026-06-08T18:53:02.146201,Pie,1,15.50
4be41d0e-9340-4906-a23c-0ca6bcbff126,2026-06-08T18:53:02.146201,Pie,1,15.50
4be41d0e-9340-4906-a23c-0ca6bcbff126,2026-06-08T18:53:02.146201,Pie,1,15.50
4be41d0e-9340-4906-a23c-0ca6bcbff126,2026-06-08T18:53:02.146201,Pie,1,15.50
4be41d0e-9340-4906-a23c-0ca6bcbff126,2026-06-08T18:53:02.146201,Pie,1,15.50
4be41d0e-9340-4906-a23c-0ca6bcbff126,2026-06-08T18:53:02.146201,Pie,1,15.50
4be41d0e-9340-4906-a23c-0ca6bcbff126,2026-06-08T18:53:02.146201,Pie,1,15.50
5317cb83-e06b-457a-b004-ced747bf0ccf,2026-06-09T08:36:30.042658,Tea,1,2.50
